year,retirees,cbns_raw,prop_raw,cbns_rate,prop_rate,cbns_peak3,prop_peak3,provisional
1969,126,19,0.15079365079365079,NA,NA,49,0.3888888888888889,FALSE
1970,140,29,0.20714285714285716,NA,NA,77,0.55,FALSE
1971,126,27,0.21428571428571427,NA,NA,79,0.626984126984127,FALSE
1972,128,15,0.1171875,NA,NA,73,0.5703125,FALSE
1973,116,20,0.1724137931034483,NA,NA,64,0.5517241379310345,FALSE
1974,139,18,0.12949640287769784,NA,NA,73,0.5251798561151079,FALSE
1975,119,27,0.226890756302521,NA,NA,72,0.6050420168067226,FALSE
1976,94,13,0.13829787234042554,28,0.2978723404255319,54,0.574468085106383,FALSE
1977,150,9,0.06,44,0.29333333333333333,59,0.3933333333333333,FALSE
1978,127,17,0.13385826771653545,51,0.4015748031496063,55,0.4330708661417323,FALSE
1979,136,36,0.2647058823529412,NA,NA,88,0.6470588235294118,FALSE
1980,143,28,0.1958041958041958,57,0.3986013986013986,80,0.5594405594405595,FALSE
1981,127,34,0.2677165354330709,NA,NA,75,0.5905511811023622,FALSE
1982,132,20,0.15151515151515152,35,0.26515151515151514,67,0.5075757575757576,FALSE
1983,134,28,0.208955223880597,NA,NA,80,0.5970149253731343,FALSE
1984,123,16,0.13008130081300814,15,0.12195121951219512,57,0.4634146341463415,FALSE
1985,153,26,0.16993464052287582,72,0.47058823529411764,86,0.5620915032679739,FALSE
1986,137,25,0.18248175182481752,47,0.34306569343065696,78,0.5693430656934306,FALSE
1987,140,14,0.1,NA,NA,75,0.5357142857142857,FALSE
1988,139,17,0.1223021582733813,38,0.2733812949640288,68,0.4892086330935252,FALSE
1989,160,25,0.15625,NA,NA,76,0.475,FALSE
1990,186,33,0.1774193548387097,42,0.22580645161290322,94,0.5053763440860215,FALSE
1991,158,40,0.25316455696202533,57,0.36075949367088606,85,0.5379746835443038,FALSE
1992,136,26,0.19117647058823528,NA,NA,67,0.49264705882352944,FALSE
1993,184,64,0.34782608695652173,24,0.13043478260869565,122,0.6630434782608695,FALSE
1994,142,31,0.21830985915492956,53,0.3732394366197183,91,0.6408450704225352,FALSE
1995,189,27,0.14285714285714285,NA,NA,100,0.5291005291005291,FALSE
1996,188,55,0.2925531914893617,NA,NA,108,0.574468085106383,FALSE
1997,150,38,0.25333333333333335,NA,NA,93,0.62,FALSE
1998,177,30,0.1694915254237288,37,0.20903954802259886,89,0.5028248587570622,FALSE
1999,174,42,0.2413793103448276,NA,NA,90,0.5172413793103449,FALSE
2000,210,62,0.29523809523809524,61,0.2904761904761905,129,0.6142857142857143,FALSE
2001,202,30,0.1485148514851485,NA,NA,98,0.48514851485148514,FALSE
2002,183,35,0.1912568306010929,54,0.29508196721311475,99,0.5409836065573771,FALSE
2003,204,30,0.14705882352941177,NA,NA,99,0.4852941176470588,FALSE
2004,223,32,0.14349775784753363,NA,NA,114,0.5112107623318386,FALSE
2005,210,34,0.1619047619047619,NA,NA,112,0.5333333333333333,FALSE
2006,193,22,0.11398963730569948,39,0.20207253886010362,86,0.44559585492227977,FALSE
2007,231,32,0.13852813852813853,NA,NA,110,0.47619047619047616,FALSE
2008,220,24,0.10909090909090909,55,0.25,110,0.5,FALSE
2009,223,39,0.17488789237668162,44,0.19730941704035873,119,0.5336322869955157,FALSE
2010,215,34,0.15813953488372093,30,0.13953488372093023,113,0.5255813953488372,FALSE
2011,225,40,0.17777777777777778,43,0.19111111111111112,112,0.49777777777777776,FALSE
2012,222,27,0.12162162162162163,61,0.2747747747747748,104,0.46846846846846846,FALSE
2013,221,24,0.1085972850678733,NA,NA,100,0.45248868778280543,FALSE
2014,240,30,0.125,19,0.07916666666666666,118,0.49166666666666664,FALSE
2015,259,39,0.15057915057915058,47,0.18146718146718147,110,0.4247104247104247,FALSE
2016,257,35,0.13618677042801555,45,0.17509727626459143,113,0.4396887159533074,FALSE
2017,255,45,0.17647058823529413,NA,NA,139,0.5450980392156862,FALSE
2018,248,34,0.13709677419354838,NA,NA,122,0.49193548387096775,FALSE
2019,262,42,0.16030534351145037,NA,NA,130,0.4961832061068702,FALSE
2020,161,29,0.18012422360248448,20,0.12422360248447205,88,0.546583850931677,FALSE
2021,354,93,0.2627118644067797,NA,NA,202,0.5706214689265536,FALSE
2022,341,55,0.16129032258064516,71,0.20821114369501467,137,0.40175953079178883,FALSE
2023,295,35,0.11864406779661017,31,0.10508474576271186,133,0.45084745762711864,FALSE
2024,303,61,0.20132013201320131,78,0.25742574257425743,150,0.49504950495049505,FALSE
2025,462,77,0.16666666666666666,129,0.2792207792207792,216,0.4675324675324675,TRUE
